valor,tempo_lista_ns,tempo_dict_ns
667711,200,1000
556040,100,900
642436,100,800
1529261,100,1100
1053440,100,600
2317785,100,1000
6745706,100,600
2315393,200,1200
93635,100,900
4978833,100,800
1374195,100,900
1957925,100,800
4513001,100,700
4830875,200,600
1076891,100,900
1697630,100,1000
3124270,100,800
3258186,100,800
1683248,100,900
3358861,100,800
3283945,100,1000
2597132,100,1000
6055441,100,700
89205,100,900
2040789,100,1200
6195742,100,800
4773743,100,1000
2462294,100,900
5533099,100,700
3124771,100,500
1450454,200,900
505019,100,900
4472688,100,600
2323726,100,1100
6842530,200,800
361946,100,1200
6640543,100,900
5340152,200,800
6500667,200,700
6979542,100,900
2269121,100,900
786542,100,900
6853734,100,700
5988,100,900
2104610,100,1000
5248857,100,1000
4955444,100,900
3162690,100,800
1449974,100,800
185735,100,1300
5392084,100,700
3903402,100,700
2938350,100,1000
3531853,100,600
6215629,100,500
1348109,100,900
4805143,100,800
3919230,100,700
1858071,100,1200
5513494,100,500
1065116,200,900
4167310,100,700
4352835,200,600
1092545,100,1000
2931152,200,1000
5612738,200,500
5949173,100,900
420295,100,1100
1710003,200,900
1755937,100,1000
6780502,100,1000
4321966,100,900
4991443,100,600
4555711,100,1000
544673,100,1000
4221751,100,700
3836925,100,800
1927120,100,1000
6846249,100,400
5595885,100,1000
3242656,100,500
6042423,100,800
6259285,100,700
5591223,200,600
5997960,100,400
6840300,100,600
1622850,100,800
1375675,100,900
6736305,100,500
3955388,100,1000
853992,100,1100
1739688,100,900
1906878,100,1000
4953697,200,700
1800132,100,1100
5066719,100,600
1024628,100,900
6523072,100,1000
2339160,100,900
262861,200,500
6625341,200,1100
943180,100,1000
5957248,100,800
5825436,100,800
6456421,100,600
4073502,200,1000
4708368,100,1000
826806,100,1000
6170460,100,800
2920914,100,1100
1793551,100,1100
560220,100,900
4607533,100,500
1764223,100,1100
3372858,200,800
1051248,100,800
3051496,100,3700
1265033,100,1200
2666669,100,600
5067034,100,600
2065278,200,900
4118435,100,500
6641539,100,500
5231548,200,600
6865714,100,800
5323131,100,600
5026911,200,700
5623781,100,1400
1467534,100,900
4274615,100,600
2552113,200,1000
1910899,200,800
2051686,100,900
4631474,200,700
4160968,100,800
1479786,100,1000
316803,100,900
5595442,100,600
427383,100,1000
1929765,100,700
298397,100,900
5998622,100,700
4620180,100,600
2911384,100,1000
4312903,200,800
4013524,100,800
5502178,100,600
3594887,100,600
6163115,100,600
6299649,100,800
5610981,100,800
13648,100,1000
5905320,200,800
3804453,100,900
3956202,200,400
1735297,100,1200
1350656,100,700
6274911,100,400
3736079,100,800
4507158,100,700
744946,100,1000
709413,200,800
6823291,200,900
1136427,100,1000
6472656,100,800
2324823,100,800
5345210,100,700
3943018,200,500
455342,200,800
6876906,100,800
2238253,200,1000
2005996,100,1000
6425039,100,700
1310291,100,900
1552562,100,700
5706738,100,600
6370274,200,800
644059,100,1000
2150433,100,1100
3980686,200,500
4711363,100,600
6348553,100,600
2190043,100,1000
3578722,100,800
3898153,300,900
5516040,200,700
2353297,200,1300
49137,200,1300
4040700,100,600
267292,100,800
1700632,200,700
3168505,100,700
4853612,100,800
